Bonus: ID,Beam Energy,Beam Type,Magnet Energy,Eudaq,TDaq,Scintillator Thickness,Most Recent Alignment Run (EUDAQ),All micromegas? y/n,Voltage,How to use: 
317,1,Positron,50,150,1571931443,1,145,n,NA,Fill in top categories with info from tblogs (below)
319,1,Positron,25,151,1571931737,1,145,n,1580,"1: if experiment is Particle Peers, exclude & delete"
321,1,Positron,0,152,1571932015,1,145,n,1580,"2: if experiment is DESY chain but not a data run, exclude but keep if relevant information* is included"
323,1,Positron,75,153,1571932325,1,145,n,1580,"3: if experiment is general, exclude but keep if relevant information* is included"
325,3,Positron,75,154,1571932668,1,145,n,1580,
327,3,Positron,125,155,1571933143,1,145,n,1580,*: relevant info = is alignment run; discusses which sensor config is used; gives scintillator thickness; 
329,3,Positron,200,156,1571933521,1,145,n,1580,gives beam energy; gives magnet energy
331,3,Positron,0,157,1571933929,1,145,n,1580,
333,5,Positron,0,158,1571934315,1,145,n,1580,
335,5,Positron,125,159,1571934931,1,145,n,1580,
338,5,Positron,250,161,1571935652,1,145,n,1580,
340,5,Positron,375,162,1571936276,1,145,n,1580,
342,5,Positron,500,163,1571936885,1,145,n,1580,
344,1,Electron,100,164,1571937854,1,145,n,1580,
346,1,Electron,75,165,1571938197,1,145,n,1580,
348,1,Electron,50,166,1571938501,1,145,n,1580,
350,1,Electron,25,167,1571938794,1,145,n,1580,
352,1,Electron,0,168,1571939126,1,145,n,1580,
356,3,Electron,0,170,1571939524,1,145,n,1580,
358,3,Electron,75,171,1571939912,1,145,n,1580,
362,3,Electron,125,172,1571950010,1,145,n,1580,
364,3,Electron,200,174,1571950464,1,145,n,1580,
366,5,Electron,0,176,1571950975,1,145,n,1580,
368,5,Electron,125,177,1571951573,1,145,n,1580,
370,5,Electron,250,178,1571952203,1,145,n,1580,
372,5,Electron,375,180,1571952846,1,145,n,1580,
374,5,Electron,500,181,1571953473,1,145,n,1580,
386,5,Positron,0,187,1572001725,0.5,187,n,1580,for k value
393,5,Positron,375,190,1572003556,0.5,189,n,1630,
395,5,Positron,250,191,1572004238,0.5,189,n,1630,
397,3,Positron,125,192,1572004934,0.5,189,n,1630,
398,3,Positron,200,193,1572005884,0.5,189,n,1630,
400,1,Positron,75,194,1572006472,0.5,189,n,1630,
402,1,Positron,50,195,1572006850,0.5,189,n,1630,
404,1,Positron,25,196,1572007197,0.5,189,n,1630,
406,1,Positron,0,197,1572007510,0.5,189,n,1630,
408,3,Positron,0,198,1572007834,0.5,189,n,1630,
410,5,Positron,0,199,1572008331,0.5,189,n,1630,
412,5,Electron,375,200,1572008983,0.5,189,n,1630,
414,5,Electron,250,201,1572009598,0.5,189,n,1630,
416,3,Electron,200?? (maybe 250),203,1572010530,0.5,189,n,1630,Check data to confirm 200 A or actually 250 A
418,3,Electron,125,204,1572010964,0.5,189,n,1630,
421,3,Electron,0,205,1572011373,0.5,189,n,1630,
423,1,Electron,0,206,1572012186,0.5,189,n,1630,
425,1,Electron,25,207,1572012538,0.5,189,n,1630,
427,1,Electron,50,208,1572012923,0.5,189,n,1630,
429,1,Electron,25?,209,1572013337,0.5,189,n,1630,Not sure why we did 25 A again. 
524,1?,Positron,0,246,1572097787,2,220,y,1450,Is this really 1 GeV? Check data
526,5,Positron,250,247,1572098569,2,220,y,1450,
528,5,Positron,500,248,1572099283,2,220,y,1450,
530,3,Positron,0,249,1572100097,2,220,y,1450,
532,3,Positron,150,250,1572100629,2,220,y,1450,
534,3,Positron,300,251,1572101077,2,220,y,1450,
536,1,Positron,0,254,1572101587,2,220,y,1450,
538,1,Positron,50,255,1572102133,2,220,y,1450,
540,1,Positron,100,256,1572102470,2,220,y,1450,
548,1,Electron,0,259,1572104299,2,220,y,1450,
550,1,Electron,50,260,1572104678,2,220,y,1450,
552,1,Electron,100,261,1572105037,2,220,y,1450,
554,3,Electron,100,262,1572105397,2,220,y,1450,
556,3,Electron,150,263,1572105827,2,220,y,1450,
558,3,Electron,300,264,1572106243,2,220,y,1450,
560,3,Electron,0,265,1572106685,2,220,y,1450,
562,5,Electron,0,266,1572107138,2,220,y,1450,
564,5,Electron,250,267,1572107806,2,220,y,1450,
566,5,Electron,500,268,1572108522,2,220,y,1450,
648,5,Positron,250,275,1572169691,1,274,y,1580,
650,5,Positron,500,276,1572170351,1,274,y,1580,
651,3,Positron,150,277,1572171025,1,274,y,1580,
653,3,Positron,300,278,1572171442,1,274,y,1580,
655,3,Positron,0,279,1572171865,1,274,y,1580,
657,1,Positron,0,280,1572172309,1,274,y,1580,
659,1,Positron,50,281,1572172623,1,274,y,1580,
661,1,Positron,100,282,1572172945,1,274,y,1580,
663,1,Electron,100,283,1572173331,1,274,y,1580,
665,1,Electron,50,284,1572173645,1,274,y,1580,
667,1,Electron,0,285,1572173990,1,274,y,1580,
669,3,Electron,0,286,1572174366,1,274,y,1580,
671,3,Electron,150,287,1572174791,1,274,y,1580,
673,3,Electron,300,288,1572175181,1,274,y,1580,
675,5,Electron,500,289,1572175587,1,274,y,1580,
677,5,Electron,250,290,1572176260,1,274,y,1580,
679,5,Electron,0,291,1572176931,1,274,y,1580,
685,5,Electron,250,296,1572180849,Crystal,295,y,1800,
687,5,Electron,150,297,1572181315,Crystal,295,y,1800,
689,5,Electron,100,298,1572181745,Crystal,295,y,1800,
691,3,Electron,0,299,1572182574,Crystal,295,y,1800,
693,3,Electron,60,300,1572183037,Crystal,295,y,1800,
695,1,Electron,20,301,1572183476,Crystal,295,y,1800,
697,1,Electron,0,302,1572183834,Crystal,295,y,1800,
699,1,Positron,0,303,1572184203,Crystal,295,y,1800,
701,1,Electron?,20,304,1572184622,Crystal,295,y,1800,Should it be positrons instead?
703,3,Positron,60,305,1572184952,Crystal,295,y,1800,
705,3,Positron,0,306,1572185366,Crystal,295,y,1800,
707,5,Positron,0,307,1572185799,Crystal,295,y,1800,
709,5,Positron,100,308,1572186485,Crystal,295,y,1800,
719,5,Positron,0,312,1572188706,0.2,295,y,1800,
721,5,Positron,250,313,1572189388,0.2,295,y,1800,
723,5,Positron,500,314,1572190135,0.2,295,y,1800,
726,3,Positron,300,315,1572190918,0.2,295,y,1800,
728,3,Positron,150,316,1572191362,0.2,295,y,1800,
730,3,Positron,0,317,1572191829,0.2,295,y,1800,
732,1,Positron,0,318,1572192245,0.2,295,y,1800,
734,1,Positron,50,319,1572192584,0.2,295,y,1800,
736,1,Positron,100,320,1572192942,0.2,295,y,1800,
738,1,Electron,100,321,1572193352,0.2,295,y,1800,
740,1,Electron,50,322,1572193711,0.2,295,y,1800,
742,3,Electron,0,323,1572194050,0.2,295,y,1800,
745,3,Electron,150,325,1572194833,0.2,295,y,1800,
747,3,Electron,300,326,1572195254,0.2,295,y,1800,
751,5,Electron,500,328,1572196002,0.2,295,y,1800,
